Station Number,State,Temp Min,Temp Max,DO Min,DO Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Faecal Coliform Min,Faecal Coliform Max,Total Coliform Min,Total Coliform Max
1579,KERALA,28,28.5,3.9,7.5,6,7.5,135,7500,0.1,5,0,0.2,200,760,360,1000
1580,KERALA,27,29.7,5.8,7.3,6.7,7.7,24,30,0.2,0.8,0,0.1,4,24,10,38
2312,KERALA,28,29,4.6,7.6,6.9,7.7,158,15080,0.4,3.1,0,0.2,180,760,360,1160
2318,KERALA,24,35,5.5,8.9,6.5,7.9,37,75,0.6,2.2,0.1,0.5,0,420,4,2000
2328,KERALA,27,30,3.5,9.4,6.6,8.2,80,159,0.5,4.1,0.1,0.9,0,180,0,240
2329,KERALA,23,31.2,7.4,8.8,6.3,7.6,19,94,0.4,3.5,0,0.4,94,1060,220,1960
2330,KERALA,23,30.1,6.5,8.5,6.4,7.7,21,294,0.6,2.7,0,0.9,10,540,20,880
3297,PMRAADDHEYSAH,22,30.2,4.2,7.8,7.6,8.9,386,890,2,10.8,0.8,3.2,3,50,110,900
3298,PMRAADDHEYSAH,23,28,7,7.6,7.5,8.4,274,650,2,2.9,0.8,2.2,2,50,110,300
3299,PMRAADDHEYSAH,21,27,6.7,7.6,6.8,8.6,294,1347,0.3,6,0.1,3.6,1.4,1.4,63,70
3300,PMRAADDHEYSAH,21,27,5.6,7.4,6.6,7.9,332,1063,3.2,6.2,0.8,4.4,1.4,22,29,47
3301,PMRAADDHEYSAH,22,26,5.2,7.4,7.4,8.4,332,1087,1.3,10,0,2.4,1.4,34,48,63
2805,MAHARASHTRA,27,29,3.5,5.5,7.2,8.1,5990,56680,6.6,18,1.1,4.4,220,1600,540,1600
2806,MAHARASHTRA,27,29,3.4,5,7.1,8.3,6030,61790,7.8,20,0.7,4.4,220,920,540,1600
2807,MAHARASHTRA,22,29,3.4,4.6,7.1,8.4,31100,63000,7.8,18,0.8,4.3,130,1600,350,1600
2808,MAHARASHTRA,27,36,3.1,4.9,6.8,8.2,19210,60750,8.2,20,0.6,2.8,220,920,540,1600
2809,MAHARASHTRA,27,35,3.2,4.9,7.3,8,26770,60590,8,20,0.6,2.7,110,1600,350,1600
2810,MAHARASHTRA,27,35,3.3,4.7,7.1,8,26720,60800,7.2,20,0.6,3.7,130,1600,280,1600
2811,MAHARASHTRA,27,34,3.3,4.9,6.9,8.4,9547,60670,7.8,20,0.6,8,280,1600,540,1600
2812,MAHARASHTRA,25,30,3.2,5,7.3,8,19660,61260,8.2,22,0.8,2.6,220,1600,540,1600
